Entry #,Ligand Type,Nanoparticle Type,NP Size (nm),Conjugation Chemistry,PEGylated?,PEG Details,Activation Agent,Molar Ratio (Ligand:NP),pH,Buffer,Temperature (°C),Incubation Time (h),Conjugation Efficiency (%),Characterization Method,Key Finding / Notes,First Author,Year,Journal,DOI
33,"Antibody (anti-HER2 VHH fragment, bispecific)",Liposome (HSPC/Chol/DSPE-PEG2000-Mal),~110–130,PEGylation + Maleimide-thiol (NHS-activated),Yes (DSPE-PEG2000 + DSPE-PEG2000-Mal),DSPE-PEG2000 (stealth) + DSPE-PEG2000-Mal (reactive); VHH C-terminal Cys for site-specific coupling,Engineered C-terminal Cys on VHH; TCEP reduction; NHS activation of maleimide arm,DSPE-PEG2000-Mal 3 mol% total lipid; VHH-SH added at 5:1 VHH:DSPE-PEG-Mal molar ratio,7.4,PBS pH 7.4,RT,VHH-SH reduction 30 min; coupling 2 h RT; purify by size exclusion,Bivalent bispecific VHH-liposomes showed highest affinity to HER2+ cells vs monovalent; 10-fold uptake increase,"DLS, Zeta, BCA, ELISA (HER2 binding), flow cytometry (BT474, SKBR-3), SPR affinity","Prepare liposome (HSPC:Chol:DSPE-PEG2000:DSPE-PEG2000-Mal at 56:38:3:3 mol ratio) by extrusion. Reduce engineered Cys-VHH with TCEP (1:1, 30 min RT). React VHH-SH with Mal-liposomes (5:1 VHH:DSPE-PEG-Mal, PBS 7.4, 2 h RT). Remove free VHH by SEC (Superdex 200).",Nikkhoi,2021,Front Immunol,10.3389/fimmu.2021.716266
34,Antibody (OX26 anti-TfR mAb),Liposome (DSPC/Chol/DSPE-PEG2000-Mal),~85,Maleimide-thiol,Yes (DSPE-PEG2000-Maleimide 0.015 µmol incorporated during formation),DSPE-PEG-Maleimide incorporated into bilayer; ~30 Ab/liposome optimal for BBB delivery,"Traut's reagent (mAb:Traut 1:40 mol/mol, borate pH 8.5, 60 min RT)",mAb:Traut 1:40; phospholipid:mAb 100–400:1; ~10% coupling efficiency; optimal ~30 Ab/liposome; 0.015 µmol DSPE-PEG-Mal,8.5 (Traut's thiolation in borate); 8.0 (coupling in phosphate buffer),0.15 M Na-borate + 0.1 mM EDTA (thiolation); 0.1 M Na-phosphate (coupling),RT,60 min thiolation; overnight coupling RT,~10% coupling efficiency; 30 Ab/liposome optimal; enhanced brain delivery in rats (BBB crossing),"Ellman's (avg 1 thiol/mAb), Sephadex CL-4B SEC, radiolabeling (3H-cholesterol), pharmacokinetics in rats","Landmark BBB immunoliposome protocol: thiolate OX26 mAb (Traut's 1:40, borate pH 8.5, 60 min RT). Exchange to phosphate pH 8.0. React with DSPE-PEG-Mal liposomes overnight RT. Separate on Sephadex CL-4B. Coupling efficiency ~10% (1 thiol/mAb avg).",Huwyler (Pardridge lab),1996,PNAS,10.1073/pnas.93.24.14164
35,Antibody (Trastuzumab / anti-HER2),"Liposome (DSPC/Chol/DSPE-PEG2000-Mal, thermal post-insert)",~85 (post-extrusion),Maleimide-thiol,"Yes (DSPE-PEG2000-Maleimide 1 mol%, thermal insertion)","DSPE-PEG2000-Mal added post-formation (55 °C, 1 h thermal equilibration); thiolated trastuzumab coupled overnight 4 °C","Traut's reagent (protein:Traut 3:1 molar, 1 h RT)",1 mol% DSPE-PEG-Mal added post-extrusion; trastuzumab-SH at 1:1 molar ratio to DSPE-PEG-Mal; quench β-mercaptoethanol 15 min,7.4 (PBS),PBS,"55 °C (insertion), then 4 °C (coupling)",1 h at 55 °C + overnight 4 °C coupling,>90% DSPE-PEG-Mal retained (Ellman's); specific targeting of HER2+ cells confirmed by fluorescence,"Ellman's test, DLS, fluorescence microscopy (HER2+ vs HER2− cells)","Prepare liposomes by thin-film/extrusion (DSPC:Chol:DSPE-PEG). Post-insert DSPE-PEG-Mal (25 mg/mL DMSO stock) at 1 mol%, 55 °C, 1 h. Thiolate trastuzumab (Traut's 3:1, 1 h RT). React trastuzumab-SH at 1:1 DSPE:Ab, overnight 4 °C. Quench β-mercaptoethanol (1 mM, 15 min).",Bresseleers,2022,Membranes (MDPI),10.3390/membranes12030319
36,Antibody (Cetuximab Fab' / anti-EGFR),"Liposome (DSPE-PEG2000-Mal, post-insertion micelles)",~95–115,Maleimide-thiol (post-insertion via DSPE-PEG-Mal micelles),Yes (DSPE-PEG2000-Mal micelles post-inserted),DSPE-PEG2000-Mal dissolved as micelles; Cetuximab Fab' thiolated by partial reduction; post-inserted,"2-MEA (2-mercaptoethylamine, 10 mM) to reduce F(ab')2 → Fab'-SH; 37 °C, 90 min",Cetuximab IgG → F(ab')2 by pepsin digestion; 2-MEA 10 mM reduces F(ab')2 to Fab'-SH; DSPE-PEG-Mal micelles added at 1:1 Ab:lipid molar ratio; 37 °C 30 min post-insertion,7.2 (PBS),PBS pH 7.2,37 °C (post-insertion),90 min reduction; Fab'-SH coupling 2 h RT; 37 °C 30 min post-insertion,Specific binding to EGFR+ UM-SCC1 cells; boron delivery enhanced for BNCT application,"DLS, TEM, ELISA, competitive binding, BNCT cell killing assay","Digest cetuximab with pepsin to obtain F(ab')2. Reduce with 2-MEA (10 mM, 37 °C, 90 min) for Fab'-SH. React Fab'-SH with DSPE-PEG-Mal micelles (1:1, 2 h RT). Post-insert into preformed liposomes (37 °C, 30 min). Remove free Fab' by size exclusion.",Pan (Lee lab),2007,Bioconjugate Chem,10.1021/bc0603490
37,Antibody (Trastuzumab / anti-HER2),Liposome (DSPC/Chol/DSPE-PEG2000-COOH),~100–130,EDC/NHS,Yes (DSPE-PEG2000-COOH 1 mol% provides carboxyl + PEG stealth),DSPE-PEG2000-COOH incorporated at 1 mol%; provides carboxyl end for EDC coupling to Ab amine,EDC (10-fold molar excess to PEG-COOH) + Sulfo-NHS (25-fold molar excess),EDC 10× and Sulfo-NHS 25× molar excess to reactive PEG-COOH (0.11 mM exposed); trastuzumab 1:10 molar ratio (Ab:lipid),~6.0 (activation in PBS pH 6); ~7.4 (coupling in PBS pH 7.4),PBS pH 6.0 (activation); PBS pH 7.4 (coupling),RT,15 min activation; quench EDC with 2-mercaptoethanol (20 mM); 2 h coupling,20–45% coupling efficiency; risk of inter-liposome crosslinking at high concentrations; dialysis cleanup,"DLS, Zeta, BCA, cellular uptake (HER2+ cells), dialysis cleanup (MWCO <1,000 kDa Float-A-Lyzer)","Prepare DSPC:Chol:DSPE-PEG2000-COOH liposomes. Activate COOH with EDC (10×) + Sulfo-NHS (25×), PBS pH 6, 15 min. Quench excess EDC with 2-mercaptoethanol (20 mM). Add trastuzumab at 1:10 Ab:lipid molar ratio, PBS pH 7.4, 2 h RT. Dialyze vs PBS (MWCO 300 kDa) to remove unbound Ab. Risk of crosslinking: use dilute conditions.",Encapsula / Patel (general protocol),2019,J Liposome Res,10.1080/08982104.2019.1576456
38,Antibody (anti-TNFR2 mAb),PLGA-PEG NP (Adriamycin-loaded),~128 (Ab-conjugated),PEGylation + EDC/NHS,Yes (PLGA-PEG-NHS surface),PLGA-PEG-NHS diblock; NHS end directly couples Ab primary amine in one step,EDC/NHS co-activation of terminal carboxyl on PLGA-PEG block,PLGA-PEG-NHS NPs; anti-TNFR2 Ab or IgG isotype control added at optimized Ab:NP ratio; aqueous PBS,~7.4 (PBS),PBS,RT,2 h coupling; wash 3× by centrifugation,TNFR2-NPs: 128 ± 2.0 nm (DLS); potent in vivo tumor growth inhibition in MC38 colon cancer; increased CD8+ CTLs,"DLS, PDI, SEM, SDS-PAGE (Ab integrity), flow cytometry, in vivo MC38 mouse model, IHC","Prepare PLGA-PEG-NHS NPs by solvent injection method. Add anti-TNFR2 Ab (or control IgG) in PBS pH 7.4, incubate 2 h RT. Wash 3× PBS by centrifugation to remove unbound Ab. Characterize by DLS and SDS-PAGE.",Wan (Chen lab),2023,Research (AAAS),10.34133/research.0444
39,Antibody (Cetuximab / anti-EGFR),"PLGA NP (temozolomide-loaded, PLGA-COOH terminal)",~105 (bare); ~120 (Cmab-NP),EDC/NHS,"No (bare PLGA-COOH, no PEG)",PLGA terminal –COOH activated by EDC/Sulfo-NHS; direct Ab coupling via amide bond,EDC + Sulfo-NHS (standard carbodiimide),PLGA-NPs 1 mg/mL; EDC/Sulfo-NHS standard concentrations; cetuximab added at 25 µg per mg NP,~6.0 (activation in MES); ~7.4 (coupling in PBS),MES pH 6.0 → PBS pH 7.4,RT,30 min EDC/NHS activation; 2 h Ab coupling,"CE ~40%; size 120 nm; zeta −21 mV; enhanced uptake in U-87MG, SK-Mel 28, SW480 (EGFR+) cells","DLS, TEM, Zeta, BCA, SDS-PAGE, flow cytometry (cellular uptake), apoptosis assay, Western blot (γ-H2AX)","Prepare TMZ-PLGA-NPs by single emulsion (PLGA 50:50, PVA stabilizer). Activate COOH with EDC + Sulfo-NHS in MES pH 6.0, 30 min RT. Exchange to PBS pH 7.4. Add cetuximab 25 µg per mg NP, stir 2 h RT. Centrifuge, wash 3× PBS.",Duwa,2020,J Controlled Release,10.1016/j.jconrel.2020.08.040
40,"Antibody (anti-EGFR mAb, cetuximab-like)","PLGA NP (docetaxel-loaded, PLGA 50:50)",~128 ± 3.6,EDC/NHS,"No (PLGA-COOH terminal, no PEG)",Terminal PLGA-COOH activated by EDC/NHS; Ab amine forms amide bond on NP surface,EDC + NHS (carbodiimide standard),PLGA-NP 1 mg; EDC/NHS standard concentrations; cetuximab 20–25 µg per mg NP; ~39.8% conjugation efficiency,~6.0 (activation); ~7.4 (coupling),MES pH 6.0 → PBS pH 7.4,RT,30 min activation; 2 h coupling RT,CE 39.77 ± 3.4%; size 128.4 ± 3.6 nm; zeta −31.0 ± 0.8 mV; higher EGFR+ cell cytotoxicity vs unconjugated NPs,"DLS, Zeta, BCA (CE), SDS-PAGE, in vitro release (sustained, 25% at pH 5.5/48 h), MTT, cell cycle, apoptosis","Prepare docetaxel-PLGA NPs by single emulsion solvent evaporation. Activate COOH with EDC/NHS in MES pH 6.0 (30 min). Transfer to PBS pH 7.4. Add cetuximab (~25 µg/mg NP), stir 2 h RT. Centrifuge; wash. Confirm by BCA.",Saleh,2018,J Pharm Pharmacol,10.1111/jphp.12905
41,Antibody (anti-FZD7 mAb),PLGA-PEG-Maleimide NP,~100,Maleimide-thiol,Yes (PEG-Maleimide surface on PLGA-PEG-Mal),PLGA-PEG-Maleimide NPs synthesized by nanoprecipitation; surface Mal for Ab-SH thioether bond,TCEP (100-fold molar excess to Ab to reduce disulfides → ~4 free thiols/Ab); 2 mM EDTA in PBS,TCEP 100× to Ab; ~4 thiols/Ab by Ellman's; Low loading: 192 Ab/NP; High loading: 1063 ± 97 Ab/NP,7.4 (PBS + 2 mM EDTA),PBS + 2 mM EDTA,RT (coupling) after 4 °C overnight (thiolation),"Overnight thiolation at 4 °C; RT coupling (time not specified, typically 2–4 h)",High loading: 1063 ± 97 Ab/NP (TCEP method); Ellman's confirmed ~4 thiols/Ab; ELISA confirmed Ab activity,"Ellman's assay, SDS-PAGE, ELISA, DLS, NP tracking analysis","Synthesize PLGA-PEG-Mal NPs by nanoprecipitation. Reduce Ab disulfides with TCEP (100×, PBS + 2 mM EDTA, 4 °C overnight). Mix Ab-SH with PLGA-PEG-Mal NPs in PBS + 2 mM EDTA, RT. Purify by centrifugation. Quantify Ab loading by Ellman's assay and ELISA.",Patel,2024,ACS Omega,10.1021/acsomega.4c07025
42,Antibody (anti-CD8a f(ab')2 fragment),PLGA-PEG-Maleimide NP,~201 (Ab-conjugated),Maleimide-thiol,Yes (PLGA-PEG-Maleimide diblock),PLGA-PEG-Mal diblock; f(ab')2 fragment DTT-reduced to expose thiol in hinge region for site-specific coupling,"IdeS protease (fragment Ab to f(ab')2 + Fc); DTT (10 mM, 2.5 µL per 100 µg Ab) to expose hinge –SH",DTT 2.5 µL of 10 mM per 100 µg Ab; f(ab')2-SH 5–25 µg per 1 mg NPs (8 mg/mL); coupling 2 h 25 °C shaking,7.4 (PBS),PBS (DPBS),25 °C (shaking),"DTT reduction (not specified, typ. 30 min); 7 kDa MWCO desalting; 2 h coupling 25 °C",Maleimide: 99% Ab retained after 5 days (superior stability vs EDC/NHS at 84%); targeting confirmed by flow cytometry,"DLS, SEM, BCA, Zeta, stability assay (5-day incubation), flow cytometry (CD8+ T cells), cell binding","Cleave Ab with IdeS protease to obtain f(ab')2. Reduce f(ab')2 with DTT (10 mM, 2.5 µL per 100 µg Ab). Desalt on 7 kDa MWCO column. Add f(ab')2-SH (5–25 µg) to PLGA-PEG-Mal NPs (1 mg, 8 mg/mL), 2 h 25 °C shaking. Quantify by BCA. Maleimide method shows superior stability vs EDC/NHS.",Lim,2021,J Nanobiotechnol,10.1186/s12951-021-00948-6
43,Antibody (anti-CD133 mAb),PLGA-PEG-Maleimide NP (paclitaxel-loaded),~180–220,Maleimide-thiol (via sulfo-SMCC crosslinker),Yes (PLGA-PEG block co-polymer surface),Sulfo-SMCC introduces maleimide groups to PLGA-PEG-NH2 NP surface; Ab thiolated with Traut's,"Sulfo-SMCC (NHS ester on NP amine; maleimide for Ab thiol); Traut's reagent (Ab:Traut 1:5, pH 7.4, 1 h)",Sulfo-SMCC 10× molar to NP-NH2; Ab:Traut 1:5 molar ratio; Ab-SH mixed with NP-Mal at 25 µg Ab per mg NP,7.4 (PBS + 2 mM EDTA for thiol protection),PBS + 2 mM EDTA,RT,Sulfo-SMCC 1 h; Traut's thiolation 1 h; maleimide coupling 2 h RT,Enhanced intracellular uptake and cytotoxicity of paclitaxel in CD133+ cancer cells vs non-targeted NPs,"DLS, TEM, Zeta, BCA, flow cytometry, MTT cytotoxicity (CD133+ A549 cells)","Prepare paclitaxel-PLGA-PEG-NH2 NPs by nanoprecipitation. React with sulfo-SMCC (10× molar, PBS pH 7.4, 1 h) to install maleimide. Thiolate anti-CD133 Ab with Traut's (1:5, pH 7.4, 1 h). Desalt on G-25 column. Mix Ab-SH with NP-Mal (25 µg Ab/mg NP, PBS+EDTA, 2 h RT). Purify by centrifugation.",Swaminathan (ref. in PMC10494237),2018,Nanomedicine NBM,10.1016/j.nano.2018.04.013
44,GRGDS (linear RGD),PAA-coated surfaces / polymer brushes,N/A (surface),EDC/NHS,No,Polyacrylic acid (PAA) brush surface with -COOH,EDC/NHS (1:2.5 molar ratio),GRGDS 0.1 mg/mL; EDC/NHS 1:2.5 molar ratio; 30 min activation in MES pH 6,6.0 (activation in MES); 8.0 (coupling in borate),MES 100 mM (activation); borate (coupling),25°C,30 min activation; 16h coupling (optimal); 2h gives 39% less,78% increase in efficiency with optimized protocol vs baseline,"In situ FTIR (amide I+II peaks), ellipsometry, AFM","Optimized EDC/NHS for RGD: MES pH 6 activation 30 min, borate pH 8.0 coupling 16h at 25°C. Temperature and reaction time had greatest impact. EDC/NHS ratio had minor effect. Primary amine on glycine residue is main reactive site.",Psarra,2017,ACS Omega,10.1021/acsomega.6b00450
45,ATWLPPR peptide,Silica NP (DOTA-gadolinium),~3-5 (ultrasmall),EDC/HBTU,No,DOTA carboxylic acid functions on NP surface,"EDC + HBTU (1:1, 5 equiv)",5 equiv EDC/HBTU mixture; 6 equiv protected peptide ATWLPPR,Not specified,Water/DMSO 1:1 v/v,RT,10 min activation; 18h coupling; 2h TFA deprotection,Functional PDT + MRI theranostic NPs confirmed,"TEM, DLS, MRI relaxivity, singlet oxygen, PDT cytotoxicity","Activate DOTA-COOH on NP with EDC/HBTU (5 equiv) in water/DMSO 10 min. Add protected peptide (6 equiv), stir 18h RT. Evaporate solvents. Deprotect side chains with TFA 2h RT. Wash cycles to remove TFA/DMSO.",Benachour,2012,Theranostics,10.7150/thno.4754
46,RGD-HA conjugate,Mesoporous silica-coated gold nanorods (GNRs@mSiO2),~116,EDC/NHS,No,Hyaluronic acid (HA) + RGD dual targeting on MSN surface,EDC/NHS for HA-RGD conjugation to MSN,HA and RGD conjugated to GNRs@mSiO2 for dual CD44 + integrin targeting,Not specified,Not specified,RT,Standard EDC/NHS protocol,Drug loading ~19.8% DOX; pH-enzyme and NIR-triggered release,"FTIR, UV-vis, 1H NMR, DLS, cellular uptake",Dual-targeted: HA for CD44 receptor + RGD for integrin αvβ3. EDC/NHS used for both conjugations to MSN-NH2 surface. DOX loaded with pH-enzyme sensitive and NIR-triggered release.,Zhou,2018,J Wuhan Univ Technol,10.1007/s11595-018-1853-4
47,cRGD-FAM (Cys-modified),Mesoporous silica NP (MSN-NH2),~100-200,Maleimide-thiol,Yes (Mal-PEG12-NHS),MSN-NH2 → Mal-PEG12-NHS crosslinker → MSN-PEGmal,None (Cys-RGD has free thiol),RGD-FAM/MSN-PEGmal ratios: 0.32 µmol/mg (high) or 0.16 µmol/mg (low),~7.4,PBS,RT,Standard maleimide-thiol reaction,High cluster: 29.1 nmol RGD/mg MSN; Low cluster: 14.5 nmol RGD/mg MSN,"Fluorescence (FAM quantification), DLS, SEM, stem cell adhesion/differentiation",Two-step: (1) React MSN-NH2 with Mal-PEG12-NHS to form MSN-PEGmal. (2) Conjugate Cys-RGD-FAM to maleimide via thiol-maleimide click. Tune RGD density by adjusting peptide:MSN ratio. PEG12 serves as antifouling spacer.,Diba (Leeuwenburgh lab),2023,ACS Appl Mater Interfaces,10.1021/acsami.3c04249
48,cRGD (thiol-modified),MSN (thiol-functionalized),~100 (mesoporous),Thiol-disulfide exchange,No,MSN surface thiol-modified with 3-mercaptopropyltrimethoxysilane,"2,2'-dithiopyridine (2,2'-DTP) activation","MSN-SH → 2,2'-DTP → activated MSN; then react with Cys-cRGD",~7.4 (PBS),PBS,RT,"Drug loaded in DMF, then peptide conjugated","Enhanced selectivity: Tf for Panc-1, RGD for BT-549 metastatic cells","Fluorescence microscopy, flow cytometry, cell proliferation","Thiol-disulfide method: MSN-SH (via 3-mercaptopropyltrimethoxysilane) activated with 2,2'-DTP, load CPT drug in DMF, then react with cRGD peptide. Different from Tf (epoxide method) in same paper — demonstrates ligand-specific chemistry selection.",Ferris (Zink/Stoddart lab),2011,Small,10.1002/smll.201002300
49,RGD-NAMs (Cys-containing),"MSN (vinyl-functionalized, pNIBIm-coated)",~100-200,EDC/NHS (for polymer) + thiol-maleimide (for RGD),No,Stimuli-responsive pNIBIm-AA polymer shell on MSN; RGD conjugated to polymer,EDC/NHS for polymer graft; peptide via Cys,RGD incorporated into polymer shell at varying densities,Not specified,Not specified,RT,Polymer grafting + peptide conjugation multi-step,Dose-dependent cytotoxicity; enhanced at 40°C vs 37°C,"DLS, TEM, zeta, SBF stability, cell viability (C2C12, BAEC, HepG2)",Thermo+pH responsive NP: vinyl-MSN coated with pNIBIm-AA-RGD copolymer. RGD provides integrin targeting. DOX release controlled by temperature (LCST) and pH. Dual-stimuli responsive system.,Lee (stimuli-responsive),2023,Colloids Surf A,10.1016/j.colsurfa.2023 (ScienceDirect)
50,cRGDfc (Cys-RGD),Liposome (SPC/Chol/DSPE-PEG-Mal),~100-120,Maleimide-thiol,Yes (DSPE-PEG2000-Mal),DSPE-PEG2000-Mal dissolved in PBS + EDTA + TEA,None (cRGD has terminal Cys thiol),"DSPE-PEG-Mal (1 mmol) + cRGD (2 mmol, 2× molar excess); in PBS pH 7.2, 0.15 M NaCl, 2 mM EDTA, 2 mmol TEA",7.2,0.1 M PBS + 0.15 M NaCl + 2 mM EDTA,RT,12h under argon in the dark,EE >90% apatinib; confirmed by 1H-NMR,"1H-NMR, DLS, zeta, EE by ultrafiltration, cellular uptake (coumarin-6), in vivo DiR imaging","Dissolve DSPE-PEG2000-Mal (1 mmol) in PBS pH 7.2 + NaCl + EDTA with TEA. Add 2 equiv cRGD. React under argon, RT, dark, 12h. Dialyze MWCO 1 kDa to remove free cRGD. Then prepare liposomes by thin-film dispersion with cRGD-DSPE-PEG.",Song,2017,Int J Nanomedicine,10.2147/IJN.S125573
51,cRGDfC (cyclo Arg-Gly-Asp-D-Phe-Cys),Liposome (HSPC/Chol/MBPE),114.1,Maleimide-thiol (then PEG post-insertion),Yes (DSPE-PEG2000 post-inserted),MBPE (maleimidobenzoylphosphatidylethanolamine) in liposome; DSPE-PEG2000 post-inserted after cRGD coupling,None (cRGD has terminal Cys),cRGD coupled to MBPE maleimide on preformed liposome surface; then PEG post-inserted,Not specified,Not specified,Not specified,"cRGD coupling first, then PEG post-insertion",Coupling efficiency 98%; DOX EE >98%; zeta -24.85 mV,"DLS, HPLC (coupling efficiency + EE), flow cytometry, competitive binding, pharmacokinetics in rats",Sequence matters: (1) Prepare liposomes (thin film hydration + extrusion). (2) Load DOX (ammonium sulfate gradient). (3) Couple cRGD to surface MBPE-maleimide via thiol. (4) Post-insert DSPE-PEG2000. PEG inserted AFTER cRGD to avoid steric hindrance blocking maleimide. 98% coupling efficiency.,Zhao (Jiang lab),2012,Int J Pharm (PMC3414220),10.1016/j.ijpharm.2012.01.024
52,cRGD (Cys-RGD),Liposome (HSPC/Chol/DSPE-PEG-Mal),~100-150,Maleimide-thiol,Yes (DSPE-PEG-Mal),DSPE-PEG-MAL in liposome formulation,None (Cys-RGD thiol reacts with Mal),cRGD:maleimide = 1:10 molar ratio; 1 mg/mL cRGD in 50 mM HEPES pH 6.5,6.5,50 mM HEPES,RT,Overnight,Functional RGD-LCL confirmed; matrine loaded by pH gradient,"TEM, HPLC (coupling + EE), MTT cytotoxicity, Annexin V apoptosis","cRGD (1 mg/mL in HEPES pH 6.5) reacted with LCL suspension at 1:10 cRGD:maleimide molar ratio, RT, overnight. Then matrine loaded by pH gradient (inside pH 4.0, outside pH 7.0). Targets αvβ3 integrin on tumor cells + neovasculature.",Zhang (matrine),2010,Int J Med Sci,10.7150/ijms.7.197
53,c(RGD) peptide (CNPRGDY[OEt]RC),"Liposome (PEGylated, DSPE-PEG-COOH)",~100-150,EDC/NHS,Yes (DSPE-PEG-COOH),DSPE-PEG-COOH provides terminal carboxyl for amide bond with peptide amine,EDC/NHS,DSPE-PEG-COOH activated with EDC/NHS; c(RGD) peptide amine reacts,~6.0 (activation); ~7.4 (coupling),MES (activation); PBS (coupling),RT,Standard EDC/NHS 2-step protocol,RGD-liposomes accumulated at blood clot site; superior to non-targeted,"DLS, in vivo clot targeting, drug release",Alternative to Mal-thiol for peptide-liposome: use DSPE-PEG-COOH and activate with EDC/NHS to form amide bond with peptide primary amine. Vaidya et al used this for streptokinase-loaded RGD liposomes targeting blood clots.,Vaidya (cited in PEG-DSPE review),~2011,Review in Int J Pharm (PMC3418104),PMC3418104
54,RGD peptide,Liposome (DSPE-PEG-COOH),~80-150,EDC/NHS,Yes,DSPE-PEG2000-COOH terminal carboxyl,EDC + NHS,Peptide amine + DSPE-PEG-COOH via amide bond,5.5-6.5 (activation),MES,RT,2-4h,Functional targeting confirmed in multiple studies,"DLS, zeta, cellular uptake, in vivo biodistribution","EDC/NHS approach for peptide-liposome: activate DSPE-PEG-COOH, react with peptide primary amine. Less selective than Mal-thiol (random orientation) but doesn't require Cys-modified peptide. Review describes multiple examples.",Immordino (review),2012,Int J Pharm / PMC3418104,PMC3418104
55,DSPE-PEG-RGD (thiolated RGD + DSPE-PEG-Mal),Liposome (cationic PEGylated),~100-200,Maleimide-thiol (DSPE-PEG-Mal conjugate),Yes,DSPE-PEG2000-Mal + DSPE-PEG5000-Mal reacted with thiolated RGD,None (thiolated RGD has free -SH),DSPE-PEG-Mal reacted with thiolated RGD; 1-5 mol% DSPE-PEG-RGD incorporated,Not specified,Not specified,RT,Standard maleimide-thiol,MALDI-TOF confirmed quantitative coupling (MW increase ~818.9 Da = RGD-SH),"MALDI-TOF MS, DLS, zeta, FAM-siRNA uptake by flow cytometry, integrin blocking assay","MALDI-TOF confirmed quantitative 1:1 DSPE-PEG:RGD coupling. 5 mol% DSPE-PEG-RGD showed highest siRNA delivery to ARPE-19 cells. Integrin blocking (αvβ3, α5β1) reduced but didn't eliminate uptake — multiple integrin subtypes contribute.",Suen (siRNA delivery),2011,Int J Nanomedicine (PMC3225218),10.2147/IJN.S28878
56,GRGDS or similar RGD peptide,PLGA NP,150-300,EDC/NHS,No,PLGA terminal -COOH or surface -COOH groups,EDC + NHS,Standard EDC activation of PLGA-COOH; peptide-NH2 reacts to form amide,6.0-6.5 (MES activation),MES 50-100 mM,RT,2-4h,Lower efficiency than Mal-thiol for peptides; random orientation,"BCA/fluorescence, DLS, zeta","Direct EDC/NHS on PLGA: less common for peptides than Mal-thiol because peptides are small and random amide bond orientation is acceptable. Activate PLGA-COOH in MES, add peptide. Based on general EDC/NHS PLGA protocols (Fischer 2010).",Fischer,2010,Methods Mol Biol,10.1007/978-1-60761-670-2_3
57,GRGDS peptide,PLGA-PEG NP,~200,EDC/NHS (on PLGA-PEG-COOH),Yes,PLGA-PEG-COOH terminus provides carboxyl,EDC + NHS,Activate PEG-COOH terminus; react with peptide amine,6.0 (MES),MES,RT,2-4h,PEG spacer improves peptide presentation vs direct PLGA surface,"DLS, BCA, cellular uptake","PLGA-PEG-COOH activated with EDC/NHS, then peptide-NH2 conjugated. PEG provides flexible tether improving receptor accessibility. Based on standard PLGA-PEG carbodiimide protocols.",Fischer / general,2010,Methods Mol Biol,10.1007/978-1-60761-670-2_3
58,cRGDfK (free thiol on Cys),PLGA-PEG-Mal NP (maleimide-PEG-PLGA),~200,Maleimide-thiol,Yes (Mal-PEG-PLGA),Maleimide-PEG-PLGA copolymer; Mal at PEG terminus,None (cRGDfK has free Cys thiol),Optimal: maleimide:thiol 2:1 molar ratio,7,10 mM HEPES,RT,30 min (optimal; 84±4% efficiency at 2:1),"84 ± 4% conjugation efficiency at 2:1 Mal:thiol, 30 min, RT, HEPES pH 7.0","HPLC (cRGDfK quantification), Ellman's (maleimide availability), DLS, zeta, NMR","KEY REFERENCE for peptide-PLGA Mal-thiol. Comprehensive optimization: tested NP prep method, storage conditions (4°C vs 20°C), Mal:ligand ratios (0.5:1 to 4:1). Best: 2:1 ratio, 30 min, HEPES pH 7.0. Maleimide availability depends on NP prep method — surface maleimide may be lower than expected due to PEG-PLGA miscibility burying some Mal groups.",Martínez-Jothar,2018,J Control Release,10.1016/j.jconrel.2018.03.002
59,cRGDfK (Cys-containing),PLGA/maleimide-PEG-PLGA NP blend,~300-330,Maleimide-thiol,Yes (20 wt% Mal-PEG-PLGA),NPs from 65% PLGA + 20% Mal-PEG-PLGA + 15% Cy5-PLGHMGA blend,None (cRGDfK free thiol),"cRGD:Mal-PEG-PLGA ratios: 1:10 (low), 1:5 (medium), 1:2 (high)",~7.4,PBS,RT,Standard Mal-thiol reaction,Conjugation efficiency 40-70% (density-dependent); uptake 2-3× higher under static; significant under physiological flow,"DLS, flow cytometry, epifluorescence + confocal microscopy, static + flow (shear 300 s⁻¹) uptake studies","Tested cRGD at 3 surface densities on HUVEC endothelial cells under both static and physiological flow conditions (shear rate 300 s⁻¹). Uptake was time-, concentration-, and cRGD density-dependent. Key finding: targeting works under flow conditions relevant to in vivo.",Martínez-Jothar,2020,Nanomaterials (MDPI),10.3390/nano10071353
60,cRGD (thiol-containing),PLGA NP (PLA-PEG-MAL interface),~100-200,Maleimide-thiol (IAASF method),Yes (PLA-PEG-MAL at interface),PLA-PEG-MAL orients at oil-water interface during NP formation; Mal on surface,None (cRGD thiol reacts with surface Mal),PLA-PEG-MAL self-assembles at emulsion interface; maleimide groups face outward for cRGD coupling,~7.4,PBS,RT,Post-formation conjugation,"2-3 fold increased cellular uptake; increased tumor accumulation in vivo (4T1 model, ~2× AUC)","NMR (maleimide peak disappearance confirms coupling), DLS, in vitro uptake (4T1), in vivo tumor accumulation",IAASF technique: PLA-PEG-MAL copolymer added during PLGA NP emulsification. PEG-MAL orients at oil-water interface → Mal displayed on NP surface. React with cRGD-SH. NMR confirms coupling (maleimide proton peak disappears). 2-3× uptake increase; ~2× tumor AUC in vivo.,Danhier (IAASF),2010,Mol Pharmaceutics (PubMed),PMID: 20527782
